Таблицы обратного планирования

  k4 |  x4 |    P4 
   0 |   0 | 0.000
   4 |   0 | 5.659
   8 |   0 | 7.997
  12 |   4 | 9.980
  16 |   4 | 11.784
  20 |   4 | 13.300
  24 |   4 | 14.631
  28 |   4 | 15.836
  32 |   4 | 16.952
  36 |   4 | 17.980
  40 |   4 | 18.957
  44 |   4 | 19.870
  48 |   4 | 20.746
  52 |   4 | 21.576
  56 |   8 | 22.393
  60 |   8 | 23.197
  64 |   8 | 23.968
  68 |   8 | 24.706
  72 |   8 | 25.428
  76 |   8 | 26.122
  80 |   8 | 26.803
  84 |   8 | 27.459
  88 |   8 | 28.100
  92 |  12 | 28.728
  96 |  12 | 29.348
 100 |  12 | 29.960
 104 |  12 | 30.557
 108 |  12 | 31.140
 112 |  12 | 31.715
 116 |  12 | 32.275
 120 |  12 | 32.820
 124 |  12 | 33.362
 128 |  16 | 33.895
 132 |  16 | 34.421
 136 |  16 | 34.946
 140 |  16 | 35.457
 144 |  16 | 35.960
 148 |  16 | 36.456
 152 |  16 | 36.947
 156 |  16 | 37.425
 160 |  16 | 37.900
 164 |  16 | 38.367
 168 |  20 | 38.833
 172 |  20 | 39.297
 176 |  20 | 39.756
 180 |  20 | 40.204
 184 |  20 | 40.649
 188 |  20 | 41.089
 192 |  20 | 41.518
 196 |  20 | 41.950
 200 |  24 | 42.374
 204 |  20 | 42.797
 208 |  24 | 43.221
 212 |  24 | 43.633
 216 |  24 | 44.042
 220 |  24 | 44.446
 224 |  24 | 44.851
 228 |  24 | 45.251
 232 |  24 | 45.640
 236 |  24 | 46.034
 240 |  24 | 46.422
 244 |  28 | 46.809
 248 |  28 | 47.188
 252 |  28 | 47.570
 256 |  28 | 47.948
 260 |  28 | 48.316
 264 |  28 | 48.690
 268 |  28 | 49.058
 272 |  32 | 49.422
 276 |  32 | 49.783
 280 |  32 | 50.141
 284 |  32 | 50.504
 288 |  32 | 50.854
 292 |  32 | 51.206
 296 |  32 | 51.562
 300 |  32 | 51.903
 304 |  32 | 52.248
 308 |  32 | 52.594
 312 |  36 | 52.933
 316 |  32 | 53.271
 320 |  36 | 53.610
 324 |  36 | 53.944
 328 |  36 | 54.276
 332 |  36 | 54.600
 336 |  36 | 54.928
 340 |  36 | 55.255
 344 |  40 | 55.578
 348 |  36 | 55.902
 352 |  40 | 56.225
 356 |  40 | 56.541
 360 |  40 | 56.858
 364 |  40 | 57.175
 368 |  40 | 57.492
 372 |  40 | 57.802
 376 |  40 | 58.111
 380 |  40 | 58.417
 384 |  40 | 58.726
 388 |  44 | 59.031
 392 |  44 | 59.334
 396 |  44 | 59.638
 400 |  44 | 59.936
 404 |  44 | 60.236
 408 |  44 | 60.533
 412 |  44 | 60.831
 416 |  44 | 61.124
 420 |  48 | 61.415
 424 |  44 | 61.705
 428 |  48 | 61.996
 432 |  48 | 62.286
 436 |  44 | 62.572
 440 |  48 | 62.863
 444 |  48 | 63.148
 448 |  48 | 63.431
 452 |  48 | 63.712
 456 |  48 | 63.993
 460 |  52 | 64.272
 464 |  48 | 64.552
 468 |  52 | 64.831
 472 |  48 | 65.104
 476 |  52 | 65.383
 480 |  52 | 65.657
 484 |  56 | 65.927
 488 |  52 | 66.201
 492 |  56 | 66.471
 496 |  52 | 66.740
 500 |  56 | 67.010
 504 |  56 | 67.275
 508 |  56 | 67.541
 512 |  56 | 67.807
 516 |  56 | 68.069
 520 |  56 | 68.335
 524 |  56 | 68.597
 528 |  56 | 68.855
 532 |  56 | 69.118
 536 |  56 | 69.374
 540 |  56 | 69.631
 544 |  56 | 69.894
 548 |  60 | 70.150
 552 |  60 | 70.405
 556 |  64 | 70.657
 560 |  56 | 70.908
 564 |  60 | 71.164
 568 |  60 | 71.416
 572 |  60 | 71.668
 576 |  64 | 71.920
 580 |  68 | 72.167
 584 |  64 | 72.415
 588 |  64 | 72.664
 592 |  68 | 72.911
 596 |  64 | 73.157
 600 |  68 | 73.404
 604 |  68 | 73.648
 608 |  68 | 73.892
 612 |  68 | 74.135
 616 |  68 | 74.377
 620 |  72 | 74.615
 624 |  68 | 74.859
 628 |  68 | 75.098
 632 |  68 | 75.338
 636 |  68 | 75.576
 640 |  72 | 75.814
 644 |  72 | 76.047
 648 |  72 | 76.283
 652 |  72 | 76.520
 656 |  72 | 76.756
 660 |  72 | 76.991
 664 |  72 | 77.223
 668 |  72 | 77.454
 672 |  72 | 77.686
 676 |  76 | 77.915
 680 |  72 | 78.147
 684 |  76 | 78.376
 688 |  76 | 78.602
 692 |  76 | 78.829
 696 |  76 | 79.055
 700 |  72 | 79.284
 704 |  76 | 79.513
 708 |  80 | 79.734
 712 |  76 | 79.963
 716 |  80 | 80.184
 720 |  84 | 80.406
 724 |  76 | 80.631
 728 |  76 | 80.853
 732 |  80 | 81.074
 736 |  76 | 81.297
 740 |  80 | 81.518
 744 |  84 | 81.740
 748 |  80 | 81.958
 752 |  84 | 82.180
 756 |  84 | 82.393
 760 |  84 | 82.610
 764 |  84 | 82.829
 768 |  84 | 83.045
 772 |  84 | 83.262
 776 |  84 | 83.475
 780 |  84 | 83.693
 784 |  84 | 83.905
 788 |  84 | 84.121
 792 |  88 | 84.333
 796 |  84 | 84.545
 800 |  84 | 84.761
 804 |  88 | 84.973
 808 |  92 | 85.184
 812 |  88 | 85.392
 816 |  92 | 85.603
 820 |  88 | 85.811
 824 |  92 | 86.022
 828 |  88 | 86.231
 832 |  92 | 86.442
 836 |  92 | 86.649
 840 |  88 | 86.852
 844 |  92 | 87.063
 848 |  92 | 87.268
 852 |  92 | 87.469
 856 |  92 | 87.677
 860 |  92 | 87.880
 864 |  92 | 88.085
 868 |  92 | 88.289
 872 |  92 | 88.493
 876 |  92 | 88.692
 880 | 100 | 88.895
 884 |  92 | 89.095
 888 |  92 | 89.297
 892 |  92 | 89.498
 896 |  92 | 89.699
 900 | 100 | 89.900
 904 | 100 | 90.101
 908 | 100 | 90.299
 912 | 100 | 90.497
 916 |  96 | 90.693
 920 | 100 | 90.896
 924 | 104 | 91.092
 928 | 104 | 91.286
 932 | 100 | 91.486
 936 | 104 | 91.682
 940 | 108 | 91.876
 944 | 100 | 92.071
 948 | 104 | 92.267
 952 | 104 | 92.462
 956 | 108 | 92.656
 960 | 104 | 92.851
 964 | 108 | 93.045
 968 | 108 | 93.234
 972 | 108 | 93.425
 976 | 108 | 93.618
 980 | 104 | 93.811
 984 | 108 | 94.005
 988 | 108 | 94.192
 992 | 108 | 94.385
 996 | 108 | 94.575
1000 | 108 | 94.764


  k3 |  x3 |   P3 
   0 |   0 | 0.000
   4 |   0 | 9.009
   8 |   4 | 14.421
  12 |   4 | 18.102
  16 |   4 | 21.056
  20 |   4 | 23.680
  24 |   4 | 26.051
  28 |   8 | 28.254
  32 |   8 | 30.287
  36 |   8 | 32.166
  40 |   8 | 33.908
  44 |   8 | 35.577
  48 |  12 | 37.180
  52 |  12 | 38.696
  56 |  12 | 40.160
  60 |  12 | 41.548
  64 |  12 | 42.903
  68 |  16 | 44.228
  72 |  16 | 45.498
  76 |  16 | 46.730
  80 |  16 | 47.925
  84 |  20 | 49.102
  88 |  20 | 50.259
  92 |  20 | 51.398
  96 |  20 | 52.503
 100 |  24 | 53.587
 104 |  24 | 54.648
 108 |  24 | 55.683
 112 |  24 | 56.705
 116 |  24 | 57.700
 120 |  28 | 58.682
 124 |  28 | 59.652
 128 |  28 | 60.602
 132 |  28 | 61.534
 136 |  32 | 62.450
 140 |  32 | 63.353
 144 |  32 | 64.251
 148 |  32 | 65.129
 152 |  32 | 66.004
 156 |  36 | 66.870
 160 |  36 | 67.719
 164 |  36 | 68.559
 168 |  36 | 69.384
 172 |  40 | 70.203
 176 |  40 | 71.018
 180 |  40 | 71.814
 184 |  40 | 72.602
 188 |  40 | 73.377
 192 |  44 | 74.147
 196 |  44 | 74.915
 200 |  44 | 75.675
 204 |  44 | 76.422
 208 |  44 | 77.164
 212 |  48 | 77.905
 216 |  48 | 78.637
 220 |  48 | 79.354
 224 |  48 | 80.071
 228 |  52 | 80.779
 232 |  48 | 81.481
 236 |  52 | 82.183
 240 |  52 | 82.872
 244 |  56 | 83.552
 248 |  56 | 84.229
 252 |  56 | 84.900
 256 |  56 | 85.568
 260 |  56 | 86.231
 264 |  60 | 86.886
 268 |  56 | 87.538
 272 |  60 | 88.190
 276 |  60 | 88.837
 280 |  64 | 89.476
 284 |  64 | 90.107
 288 |  64 | 90.739
 292 |  64 | 91.366
 296 |  68 | 91.989
 300 |  64 | 92.600
 304 |  68 | 93.214
 308 |  68 | 93.825
 312 |  72 | 94.427
 316 |  72 | 95.026
 320 |  68 | 95.624
 324 |  72 | 96.223
